"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.489343600E-2,3.244871902E1,-3.425875092E1,1.513791561E1,4.955540202E1
4.482463000E-2,1.320819664E1,-2.232192993E1,6.382399559E0,2.671067274E1
6.473794000E-2,2.181916237E0,-1.261513138E1,-3.728917122E0,1.333443366E1
8.465416000E-2,-3.514907598E0,-4.802930832E0,-3.425155640E0,6.866906957E0
1.045719860E-1,-4.202980995E0,9.453811646E-1,-4.910078526E0,6.532049136E0
1.244890600E-1,-9.785981178E-1,7.084993362E0,-8.051635742E0,1.076956932E1
1.444053210E-1,1.288614750E0,1.250937462E1,-8.691799164E0,1.528699951E1
1.643231680E-1,3.061909914E0,1.672038269E1,-1.043782902E1,1.994729967E1
1.842327140E-1,3.778833389E0,1.917587090E1,-1.238789368E1,2.313986854E1
2.041576210E-1,8.293383121E-1,1.759929657E1,-1.166152859E1,2.112851842E1
2.240750820E-1,-9.286062121E-1,1.504540253E1,-6.962891579E0,1.660446644E1
2.439934170E-1,-1.213191628E0,1.285992527E1,-7.480691075E-1,1.293866760E1
2.639095350E-1,9.716997147E0,1.199611473E1,3.278000259E1,3.623334614E1
2.838181050E-1,9.491399765E0,4.410076141E-2,2.720540237E1,2.881358243E1
3.037428900E-1,2.786422253E0,-2.953650475E0,5.705212355E-1,4.100450533E0
3.236600450E-1,8.598201275E-1,2.612589836E0,-1.583141994E1,1.606856477E1
3.435675980E-1,6.936890602E0,-3.561121941E0,-1.796752930E1,1.958658086E1
3.634939900E-1,1.133320999E1,-5.265630722E0,-1.405654335E1,1.880837384E1
3.834028850E-1,6.225506783E0,-5.404118538E0,-1.051497746E1,1.336136904E1
4.033151780E-1,7.055978775E0,-1.798407745E1,-1.137505436E1,2.241887018E1
4.232428720E-1,1.030964279E1,-3.065374374E1,3.450836658E0,3.252459091E1
4.431621230E-1,4.635862350E0,-2.272685051E1,3.164281273E1,3.923351311E1
4.630776510E-1,-2.039731503E0,-9.963125229E0,1.630167007E1,1.921376632E1
4.829961900E-1,1.007654190E0,-3.947018623E0,1.794960213E1,1.840604628E1
5.029141800E-1,4.155149937E0,2.183735371E0,1.501438618E1,1.573104458E1
5.228309480E-1,2.364775658E0,6.459825993E0,1.334676743E1,1.501524946E1
5.427472500E-1,-2.913425922E0,2.673786163E0,2.024181366E1,2.062445644E1
5.626642630E-1,-1.157861137E1,-1.555679321E0,1.989241409E1,2.306929817E1
5.825812350E-1,-1.192102432E1,-1.453343868E0,7.191579819E0,1.399792305E1
6.024984720E-1,-7.801220417E0,1.618644238E0,4.708853722E0,9.254855619E0
6.224153220E-1,-6.250121117E0,4.537011147E0,4.427925587E0,8.902528243E0
6.423324570E-1,-5.673851013E0,5.518275261E0,2.333934546E0,8.251739067E0
6.622524410E-1,-2.913515568E0,1.033929825E0,5.228139877E0,6.073798681E0
6.821665240E-1,-1.568185210E0,-6.216620445E0,2.515559435E0,6.887206537E0
7.020907190E-1,2.635212517E1,-2.786608124E1,1.023555946E1,3.969533552E1
7.219924320E-1,3.479265594E1,-2.642172813E1,1.930805206E1,4.776439573E1
7.419175020E-1,1.768425179E1,-1.969907951E1,3.449299335E0,2.669614505E1
