"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.576755200E-2,2.496504784E-2,5.216816068E-2,-2.961444855E-2,6.497527349E-2
3.568303900E-2,3.341484070E-2,2.701580524E-2,-2.698421478E-2,5.074005478E-2
5.560198500E-2,5.384981632E-2,2.728605270E-2,-4.888725281E-2,7.768072397E-2
7.552089000E-2,6.648051739E-2,3.642633557E-2,-4.645919800E-2,8.891003427E-2
9.543487200E-2,8.553373814E-2,3.491392732E-2,-3.292465210E-2,9.807668120E-2
1.153458420E-1,8.573067188E-2,6.325671077E-2,-2.953529358E-3,1.065827514E-1
1.352684100E-1,9.430098534E-2,4.462927580E-2,2.540493011E-2,1.073771790E-1
1.551849140E-1,9.323692322E-2,3.652825952E-2,-2.067661285E-2,1.022494984E-1
1.751036970E-1,9.883630276E-2,2.750611305E-2,-4.197025299E-2,1.108454020E-1
1.950011990E-1,9.352719784E-2,2.300137281E-2,-3.345870972E-2,1.019602135E-1
2.149350780E-1,9.024488926E-2,2.906048298E-2,-2.446174622E-3,9.484005208E-2
2.348504030E-1,6.788158417E-2,3.742033243E-2,1.621246338E-5,7.751252164E-2
2.547686160E-1,6.822073460E-2,3.182750940E-2,-9.739875793E-3,7.590733933E-2
2.746855680E-1,6.779742241E-2,2.501875162E-2,-2.155876160E-2,7.541358379E-2
2.946008110E-1,6.027543545E-2,2.637997270E-2,-2.770996094E-2,7.139238764E-2
3.145188620E-1,6.824946404E-2,4.106694460E-2,-2.946281433E-2,8.492667842E-2
3.344358140E-1,6.452441216E-2,2.620777488E-2,-1.128768921E-2,7.055252763E-2
3.543455230E-1,4.095482826E-2,3.176549077E-2,-1.374626160E-2,5.362186186E-2
3.742692700E-1,4.245567322E-2,7.273015380E-2,-3.194999695E-2,9.007198102E-2
3.941860190E-1,4.889190197E-2,7.344904542E-2,-2.749252319E-2,9.241763459E-2
4.141031740E-1,4.361879826E-2,5.766725540E-2,-3.445434570E-2,8.009503009E-2
4.340181320E-1,4.749596119E-2,4.285153747E-2,-3.478717804E-2,7.281667631E-2
4.539359790E-1,5.202293396E-2,3.785374761E-2,-4.033565521E-2,7.593587391E-2
4.738377130E-1,7.321393490E-2,4.358467460E-2,-2.930736542E-2,9.010452703E-2
4.937531600E-1,7.009649277E-2,3.593707085E-2,-1.709651947E-2,8.060572149E-2
5.136770290E-1,6.680655479E-2,2.925151587E-2,-5.789756775E-3,7.315933452E-2
5.336032580E-1,5.851614475E-2,2.829349041E-2,-2.386760712E-2,6.924105333E-2
5.535185420E-1,6.337964535E-2,1.778447628E-2,-3.020763397E-2,7.242767559E-2
5.734367960E-1,5.991113186E-2,3.328153491E-2,-2.487754822E-2,7.291019608E-2
5.933453660E-1,5.181014538E-2,4.016274214E-2,-2.830696106E-2,7.140462915E-2
6.132685030E-1,5.597877502E-2,5.867666006E-2,-4.078674316E-2,9.077517341E-2
6.331867160E-1,7.284867764E-2,5.557048321E-2,-2.614688873E-2,9.528204567E-2
6.531044820E-1,7.200837135E-2,5.017879605E-2,-6.358146667E-3,8.799740421E-2
6.730194810E-1,7.314038277E-2,5.481404066E-2,-2.179718018E-2,9.396388513E-2
6.929370430E-1,6.673574448E-2,3.881290555E-2,-3.466606140E-2,8.462763757E-2
7.128385740E-1,6.993782520E-2,4.735022783E-2,-4.389667511E-2,9.518540621E-2
7.327554040E-1,6.970965862E-2,3.983789682E-2,-3.325271606E-2,8.690361128E-2
7.526872890E-1,5.558836460E-2,3.504404426E-2,-2.286243439E-2,6.957616131E-2
7.725886160E-1,5.477285385E-2,3.959953785E-2,-2.690887451E-2,7.274803396E-2
7.925052420E-1,6.290769577E-2,3.240165114E-2,-3.394031525E-2,7.848050830E-2
8.124375340E-1,7.094001770E-2,3.217414021E-2,-2.253246307E-2,8.108867555E-2
8.323459820E-1,6.474268436E-2,3.928753734E-2,-2.094078064E-2,7.857252740E-2
8.522710320E-1,6.229043007E-2,5.238965154E-2,-4.638099670E-2,9.368014796E-2
8.721861930E-1,5.743002892E-2,4.927662015E-2,-5.242919922E-2,9.206092790E-2
8.921038780E-1,4.178726673E-2,4.831305146E-2,-9.954452515E-3,6.464841628E-2
9.120206670E-1,3.433084488E-2,4.710912704E-2,-2.267837524E-3,5.833540818E-2
9.319364790E-1,5.495536327E-2,5.152738094E-2,-6.512641907E-3,7.561466421E-2
9.518531870E-1,6.147563457E-2,3.340443969E-2,-2.715969086E-2,7.505170914E-2
9.717701390E-1,7.686257362E-2,3.567734361E-2,-3.517436981E-2,9.174946519E-2
9.916729310E-1,7.754802704E-2,3.686735034E-2,-4.142475128E-2,9.533576473E-2
1.011603514E0,7.676434517E-2,3.418552876E-2,-4.768562317E-2,9.661953075E-2
1.031520303E0,7.004594803E-2,2.413156629E-2,-3.709506989E-2,8.285415823E-2
1.051437133E0,7.350957394E-2,2.349704504E-2,-1.111793518E-2,7.797036019E-2
1.071361206E0,7.152056694E-2,2.570769191E-2,-6.981849670E-3,7.632052898E-2
1.091270508E0,7.633101940E-2,3.248214722E-2,-3.440952301E-2,8.980829407E-2
1.111187176E0,7.624387741E-2,3.827616572E-2,-4.268646240E-2,9.539563815E-2
1.131103761E0,6.887876987E-2,4.581886530E-2,-4.530143738E-2,9.431793883E-2
1.151021690E0,7.164907455E-2,7.284370065E-2,-1.938724518E-2,1.039983648E-1
1.170937299E0,7.085478306E-2,6.160974503E-2,-1.183032990E-2,9.463676701E-2
1.190840294E0,6.126987934E-2,5.907091498E-2,-1.379776001E-2,8.621919330E-2
1.210771162E0,4.779827595E-2,3.665474057E-2,-2.249145508E-2,6.429705080E-2
1.230687911E0,4.108703136E-2,3.797784448E-2,-2.996349335E-2,6.346866747E-2
1.250595992E0,5.808174610E-2,4.093378782E-2,-3.108024597E-2,7.755672702E-2
1.270521327E0,6.582891941E-2,5.241528153E-2,-3.447055817E-2,9.093419461E-2
1.290437872E0,6.803512573E-2,4.253911972E-2,-3.192710876E-2,8.635794876E-2
1.310360968E0,6.216955185E-2,3.900900483E-2,-2.413272858E-2,7.726023702E-2
1.330271491E0,5.691003799E-2,2.809718251E-2,-2.390480042E-2,6.782067216E-2
1.350188321E0,6.484591961E-2,3.195473552E-2,-1.834774017E-2,7.458376486E-2
1.370105354E0,7.549822330E-2,3.644719720E-2,-2.239513397E-2,8.677512277E-2
1.390022143E0,6.956374645E-2,3.183445334E-2,-3.850650787E-2,8.564635654E-2
1.409938363E0,6.034111977E-2,4.316237569E-2,-5.026435852E-2,8.961332014E-2
1.429855152E0,6.662595272E-2,4.572725296E-2,-4.374790192E-2,9.189057711E-2
1.449771779E0,5.266952515E-2,3.719455004E-2,-1.972293854E-2,6.742779647E-2
1.469675059E0,5.008792877E-2,3.276637197E-2,1.241397858E-2,6.112726564E-2
1.489591482E0,5.763387680E-2,3.556132317E-2,2.541542053E-3,6.776969010E-2
1.509522513E0,7.183921337E-2,4.834750295E-2,-1.548290253E-2,8.796632247E-2
1.529439098E0,7.883596420E-2,3.998002410E-2,-4.329204559E-2,9.842617940E-2
