"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.568394700E-2,3.013047218E0,6.661039352E0,2.242419243E0,7.646982598E0
4.560189300E-2,-8.838033676E-2,1.954998970E0,7.712625027E0,7.957035683E0
6.551898600E-2,-6.581253529E0,-1.100925350E1,1.005003452E0,1.286571384E1
8.543581400E-2,-9.050389290E0,-1.215097809E1,-1.159156799E1,1.907669425E1
1.053541470E-1,-5.834252357E0,6.489543915E-1,-8.650320768E-2,5.870870905E0
1.252720120E-1,-7.911540985E0,5.139145851E0,4.915341854E0,1.063785159E1
1.451919940E-1,-8.696475029E0,3.662786484E0,4.408734798E0,1.041545128E1
1.650994020E-1,-7.528014183E0,1.554614067E0,2.497678757E0,8.082463833E0
1.850249380E-1,-4.811830044E0,-1.414111137E0,1.210993409E0,5.159449943E0
2.049437190E-1,-1.071480513E0,-3.858395576E0,1.572591424E0,4.302130949E0
2.248615440E-1,4.078845024E0,-4.694145203E0,1.221961260E0,6.337599327E0
2.447788800E-1,7.756675720E0,-1.353586197E0,-2.893441200E0,8.388695715E0
2.646928610E-1,5.949346066E0,2.499361992E0,-6.195199966E0,8.945503429E0
2.846121910E-1,4.301296711E0,3.476859570E0,-5.425686359E0,7.747759569E0
3.045311550E-1,3.892987728E0,3.510175228E0,-3.827104092E0,6.490254950E0
3.244419210E-1,3.408544540E0,2.828099251E0,-2.097172260E0,4.900454341E0
3.443665400E-1,2.044477463E0,2.241343498E0,-1.695932627E0,3.475585742E0
3.642850570E-1,1.440252781E0,1.610479355E0,-2.344678640E0,3.188336518E0
3.841995450E-1,1.268965602E-1,-2.100696564E-1,-5.017843246E0,5.023841443E0
4.041133420E-1,3.476469517E-1,-2.568135262E0,-7.171767712E0,7.625642874E0
4.240379620E-1,1.549544811E0,-2.626040459E0,-6.270268440E0,6.972334181E0
4.439596520E-1,2.298474789E0,-2.019703865E0,-5.004100323E0,5.865424972E0
4.638736930E-1,3.713259697E0,-2.593532562E0,-5.343736649E0,7.005014639E0
4.837910090E-1,6.090997696E0,-3.287398338E0,-4.888353348E0,8.473679202E0
5.037086100E-1,7.680600643E0,-3.457340240E0,-5.421913624E0,1.001708416E1
5.236255600E-1,7.777017117E0,-3.862730980E0,-5.912209034E0,1.050508931E1
5.435441170E-1,6.625905037E0,-4.159691811E0,-4.049127102E0,8.809147734E0
5.634578530E-1,5.445480824E0,-5.516947746E0,-4.079428673E0,8.759663928E0
5.833792990E-1,3.121108532E0,-6.088670731E0,-4.871445179E0,8.399059939E0
6.032963300E-1,1.163803935E0,-5.319766045E0,-6.424544334E0,8.421942785E0
6.232183670E-1,-7.629088163E-1,-4.965258598E0,-2.878211260E0,5.789639269E0
6.431324070E-1,-2.977210999E0,-5.301922798E0,1.009256363E0,6.163827471E0
6.630442300E-1,-5.060041428E0,-5.460159302E0,1.786329508E0,7.655607877E0
6.829596140E-1,-7.065003872E0,-4.668450356E0,-7.541630268E-1,8.501615747E0
7.028857800E-1,-6.710904598E0,-2.217457771E0,-2.725577354E0,7.575099432E0
7.228016930E-1,-3.125113726E0,2.951183319E-1,-9.930222631E-1,3.292343215E0
7.427204530E-1,1.437799186E-1,1.756728172E0,1.081387401E0,2.067889080E0
7.626378100E-1,1.911455274E0,2.463068008E0,1.843777657E0,3.622137673E0
7.825553300E-1,3.711111784E0,3.371024132E0,2.042483091E0,5.413676343E0
8.024731750E-1,2.845000744E0,3.242688656E0,2.023307562E0,4.764748938E0
8.223907960E-1,4.721814394E-2,3.415441513E0,1.884702444E0,3.901227190E0
8.423083970E-1,-2.245676517E0,3.848639488E0,2.271494627E0,5.001477459E0
8.622188370E-1,-4.233634949E0,4.649435997E0,2.924481392E0,6.934948549E0
8.821439450E-1,-5.546865940E0,5.681243896E0,3.467138290E0,8.664023424E0
9.020615060E-1,-5.591320515E0,6.967586994E0,2.988500834E0,9.420258534E0
9.219793100E-1,-4.913067341E0,7.937489510E0,1.760351777E0,9.499516240E0
9.418812460E-1,-3.973328114E0,7.538131714E0,-6.144160032E-1,8.543317450E0
9.618069840E-1,-1.662514687E0,5.477399826E0,-5.503786087E0,7.940876855E0
